text_to_classify,predicted_code,predicted_label,prediction_probability
patellofemoral syndrome degenerative changes knee,8997,Musculoskeletal - Knee,1.0
patellofemoral syndrome degenerative changes knee,8997,Musculoskeletal - Knee,1.0
lumbar degenerative disc disease anterior osteophyte spurring l without significant radiculopathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.79
knee medial compartment chondral defects osteoarthritis fraying medial meniscus,8997,Musculoskeletal - Knee,0.94
acquired mental health,8989,Mental Disorders,0.83
lower radiculopathy extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower radiculopathy extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
radiculopathy lower extremities femoral,9006,Neurological - Cranial/Peripheral Nerves,0.7
radiculopathy lower extremities femoral,9006,Neurological - Cranial/Peripheral Nerves,0.7
lumbar sprain claimed low back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
ankylosing spondylitis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.21
tricep scar,9013,Scars (Extremities and Trunk),0.42
stress,8989,Mental Disorders,0.83
calf scar,9013,Scars (Extremities and Trunk),0.64
finger,8995,Musculoskeletal - Hand,0.95
back conditon,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.51
stomach irritation,8968,Digestive,0.69
flat feet,8994,Musculoskeletal - Foot,0.19
degenerative joint disease degenerative disc disease lumbar spine l l l s claimed low back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
unemployable,8989,Mental Disorders,0.1
alcohol disorder,8989,Mental Disorders,0.81
nausea vomiting experiencing migraine,8968,Digestive,0.78
insomnia difficulty sleeping migraine,8989,Mental Disorders,0.93
skin gulf war syndrome,9016,Skin,0.61
cough,9012,Respiratory,0.96
radiculopathy lower extremity femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
radiculopathy lower extremity femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
painful surgical scar,9013,Scars (Extremities and Trunk),0.84
aplastic anemia,8981,Hemic and Lymphatic,0.76
form ptsd,8989,Mental Disorders,0.29
cramping,8968,Digestive,0.09
vertigo,8969,Ear Disease and Other Sense Organs,0.83
obesity,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.21
eye partial blindness,8974,Eye (Vision),0.96
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
herniated disc,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.76
lower extremity radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower extremity radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower extremity radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower extremity radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
strain lumbosacral spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
ringing ears hearing loss hypertension ankylosis knees ptsd,3140,Hearing Loss,0.87
body dysmorphia,8989,Mental Disorders,0.28
paranoid personality disorder,8989,Mental Disorders,0.93
sacralization l s,8989,Mental Disorders,0.1
schizoaffective disorder,8989,Mental Disorders,0.81
pterygium eye,8974,Eye (Vision),0.99
carpal tunnel syndrome both hands,9006,Neurological - Cranial/Peripheral Nerves,0.76
muscle weakness,9005,Musculoskeletal and Muscle Injuries,0.4
hip limited range motion,8996,Musculoskeletal - Hip,0.8
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
lumbar radiculopathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.64
bruxism,8967,Dental and Oral,0.55
dysmenorrhea,8978,Gynecological,0.46
benign paroxysmal positional vertigo,8969,Ear Disease and Other Sense Organs,0.77
achilles tendonitis ankle sprain,8991,Musculoskeletal - Ankle,1.0
insomina,8989,Mental Disorders,0.1
allergies,8989,Mental Disorders,0.1
insomnia,8989,Mental Disorders,0.95
minimal degenerative changes l s claimed lower back stiffness,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.71
upper radiculopathy extremity,9006,Neurological - Cranial/Peripheral Nerves,0.46
upper radiculopathy extremity,9006,Neurological - Cranial/Peripheral Nerves,0.46
cervical strain degenerative disc disease,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.89
sleep disturbance,8989,Mental Disorders,0.87
sleep impairment,8989,Mental Disorders,0.76
disorder,8989,Mental Disorders,0.86
sinusitis stuffy nose nose bleeds shortness breath burn pits airborne hazards pact act prescribed allergy medications inhalers persistent nasal discharge congestion,9012,Respiratory,1.0
pseudofolliculitis barbae razor bumps shave bumps started while on active duty rash itchy irritated neck area increase requested,9016,Skin,0.97
insomnia trouble sleeping sleep impairment,8989,Mental Disorders,0.97
shortness breath burn pits airborne hazards pact act,9012,Respiratory,0.96
migraine prescribed mg ibuprofen tension headache,9007,Neurological other System,0.87
eye dry eye syndrome itchy redness swollen watery prescribed eye drops treatment burn pits airborne hazards pact act,8974,Eye (Vision),0.96
raynauds disease syndrome,8979,Heart/Veins/Arteries,0.76
difficulty adapting stressful circumstances including work work like setting,8989,Mental Disorders,0.21
disturbances motivation mood,8989,Mental Disorders,0.81
athletes foot tinea pedis increase requested,8994,Musculoskeletal - Foot,0.51
allergic rhinitis itchy red swollen irritated mucus dry eye syndrome prescribed eye drops treatment,8974,Eye (Vision),0.75
knee crepitus degenerative arthritis joint instability prescribed knee brace,8997,Musculoskeletal - Knee,0.98
lower radiculopathy extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower radiculopathy extremity femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
thoracolumbar spine strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.94
severe alcohol disorder,8989,Mental Disorders,0.78
nerve damage lower jaw,9006,Neurological - Cranial/Peripheral Nerves,0.57
arthritis,8992,Musculoskeletal - Arthritis,0.95
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
external hemorrhoids,8968,Digestive,0.26
lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
lumbar degenerative disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
sleep disorder,8989,Mental Disorders,0.93
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
residual scar bunionectomy toe,9013,Scars (Extremities and Trunk),0.65
muscle weakness leg,9005,Musculoskeletal and Muscle Injuries,0.39
compartment syndrome leg,9005,Musculoskeletal and Muscle Injuries,0.44
muscle injury leg,9005,Musculoskeletal and Muscle Injuries,0.68
barretts esophagus,8968,Digestive,0.85
stroke,9007,Neurological other System,0.33
adult lukemia,8989,Mental Disorders,0.1
high blood cholesterol,8979,Heart/Veins/Arteries,0.81
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
neglect personal appearance hygiene,None,,0.65
social impairment,8989,Mental Disorders,0.56
inability establish maintain effective relationships,8989,Mental Disorders,0.21
impaired impulse control,8974,Eye (Vision),0.3
neural foraminal stenosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.63
adjacent soft tissue edema,8979,Heart/Veins/Arteries,0.22
facet arthropathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.49
moluskeletal chest,8979,Heart/Veins/Arteries,0.49
sleep apnia,8989,Mental Disorders,0.6
sleep disturbance,8989,Mental Disorders,0.87
sleep impairment,8989,Mental Disorders,0.76
disorder,8989,Mental Disorders,0.86
sinusitis stuffy nose nose bleeds shortness breath burn pits airborne hazards pact act prescribed allergy medications inhalers persistent nasal discharge congestion,9012,Respiratory,1.0
pseudofolliculitis barbae razor bumps shave bumps started while on active duty rash itchy irritated neck area increase requested,9016,Skin,0.97
insomnia trouble sleeping sleep impairment,8989,Mental Disorders,0.97
shortness breath burn pits airborne hazards pact act,9012,Respiratory,0.96
migraine prescribed mg ibuprofen tension headache,9007,Neurological other System,0.87
eye dry eye syndrome itchy redness swollen watery prescribed eye drops treatment burn pits airborne hazards pact act,8974,Eye (Vision),0.96
raynauds disease syndrome,8979,Heart/Veins/Arteries,0.76
difficulty adapting stressful circumstances including work work like setting,8989,Mental Disorders,0.21
disturbances motivation mood,8989,Mental Disorders,0.81
athletes foot tinea pedis increase requested,8994,Musculoskeletal - Foot,0.51
allergic rhinitis itchy red swollen irritated mucus dry eye syndrome prescribed eye drops treatment,8974,Eye (Vision),0.75
knee crepitus degenerative arthritis joint instability prescribed knee brace,8997,Musculoskeletal - Knee,0.98
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
limit motion arms,9002,Musculoskeletal - Shoulder,0.08
limit motion back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.85
cervical radiculopathy upper extremities,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.81
hip sacroiliac si joint dysfunction,8996,Musculoskeletal - Hip,0.69
pelvic tilt functional leg length discrepancy,8996,Musculoskeletal - Hip,0.17
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
ankle instability sprains,8991,Musculoskeletal - Ankle,0.99
tension headaches,9007,Neurological other System,0.49
cervical strain degenerative arthritis cervical spine,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.97
degenerative arthritis facet arthropathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.53
degenerative disc disease ddd,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.63
functional compensatory scoliosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.37
ulnar nerve compression cubital tunnel syndrome,8929,Arm Condition - Neurological other System,0.46
residual scar cervical surgery,9013,Scars (Extremities and Trunk),0.51
foot nerve,9006,Neurological - Cranial/Peripheral Nerves,0.44
residual scar status post inguinal hernia repair,9013,Scars (Extremities and Trunk),0.63
residual scar excision lipoma from abdomen,9013,Scars (Extremities and Trunk),0.68
anxiety depression insomnia,8989,Mental Disorders,1.0
psychogenic non epileptic seizures,9012,Respiratory,0.2
cannabis dependency related anxiety depression,8989,Mental Disorders,0.96
varicocele testicular,8975,Genitourinary,0.98
lower extremity radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower extremity radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lumbar strain claimed facet arthropathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.9
hand tremor,9007,Neurological other System,0.43
insomnia,8989,Mental Disorders,0.95
high pitch ringging ear,3140,Hearing Loss,0.64
knee injury,8997,Musculoskeletal - Knee,0.97
gout great toe wrist,8992,Musculoskeletal - Arthritis,0.44
lumbar spine strain degenerative disc disease l s,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
migraine headaches,9007,Neurological other System,0.71
vision impairment,8974,Eye (Vision),0.95
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
numbness weakness extremities,9006,Neurological - Cranial/Peripheral Nerves,0.58
insomnia,8989,Mental Disorders,0.95
gum recession,8967,Dental and Oral,0.78
mst,None,,0.39
back neck body fatigue,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.47
upper radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.55
upper radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.55
lower extremity radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower extremity radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower extremity radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower extremity radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
dextroscoliosis thoracolumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.82
disc herniation cervical spine scoliosis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.49
sleep apnea secondary connected gerd,9012,Respiratory,0.71
radiculopathy lower extremity femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
radiculopathy lower extremity femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
rotator cuff tear shoulder scapula strain,9002,Musculoskeletal - Shoulder,1.0
foot lack feeling,9006,Neurological - Cranial/Peripheral Nerves,0.25
seborrheic keratosis xerosis cherry angiomas,9016,Skin,0.94
sinus bradycardia,9012,Respiratory,0.56
numbness from pinky elbow,9006,Neurological - Cranial/Peripheral Nerves,0.31
flacky skin,9016,Skin,0.93
cellulitis,9016,Skin,0.63
frederickson type,8973,Endocrine,0.62
undifferentiated connective tissue disease,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.19
appendicitis,8989,Mental Disorders,0.1
scars status post appendectomy claimed surgery residuals from appendicitis surgery,8968,Digestive,0.31
septal deviation,9012,Respiratory,0.24
limited flexion extension abduction knee,8997,Musculoskeletal - Knee,0.86
radiculopathy sciatic nerve lower extremities,9006,Neurological - Cranial/Peripheral Nerves,0.86
hip impingement femoroacetabular impingement fai limited flexion extension,8996,Musculoskeletal - Hip,0.98
multi level degenerative disc disease spondylosis osteoarthritis osteochrondrosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.52
somatic symptom disorder ssd persistent predominant depression anxiety insomnia,8989,Mental Disorders,1.0
hypertrophic acromiclavicular joint rotator cuff tendinitis impingement shoulder,9002,Musculoskeletal - Shoulder,0.98
sinusitis deviated septum,9012,Respiratory,0.99
diabetes type type hyperglycemia,8973,Endocrine,0.96
residual scar arthroscopic meniscus repair,9013,Scars (Extremities and Trunk),0.74
tension headaches,9007,Neurological other System,0.49
obstructive sleep apnea,9012,Respiratory,0.99
alcoholism,8989,Mental Disorders,0.83
migraine headaches,9007,Neurological other System,0.71
vision impairment,8974,Eye (Vision),0.95
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
gout great toe lateral foot,8994,Musculoskeletal - Foot,0.93
myokymia eyelid,8974,Eye (Vision),0.3
tonsillitis,9012,Respiratory,0.36
ear surgery,8969,Ear Disease and Other Sense Organs,0.53
arm numbness,8929,Arm Condition - Neurological other System,0.65
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
insomnia,8989,Mental Disorders,0.95
high cholesterol,8979,Heart/Veins/Arteries,0.64
arm limitation motion shoulder level,9002,Musculoskeletal - Shoulder,0.85
vertebral dislocation,8989,Mental Disorders,0.08
radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.6
spinal stenosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.65
degenerative disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.76
insomnia,8989,Mental Disorders,0.95
thigh,8996,Musculoskeletal - Hip,0.33
cholecystectomy,8968,Digestive,0.69
recurrent boils furuncles groin residual scars sensitivity,8975,Genitourinary,0.24
thoracic,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.62
ankle reduced rom,8991,Musculoskeletal - Ankle,0.52
torn patellar tendon knee reduced rom,8997,Musculoskeletal - Knee,0.88
hand middle index finger,8995,Musculoskeletal - Hand,0.99
lumbosacral strain lumbar lordosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
temporomandibular joint tmj,249481,Dental and Oral - Musculoskeletal,0.75
bruxism,8967,Dental and Oral,0.55
migraine headaches,9007,Neurological other System,0.71
erectile dysfunction disorder edd,8975,Genitourinary,0.94
ankle reduced rom,8991,Musculoskeletal - Ankle,0.52
torn patellar tendon knee reduced rom,8997,Musculoskeletal - Knee,0.88
lower radiculopathy extremity femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower radiculopathy extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lumbar strain claimed lumbar facet syndrome,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.92
upper peripheral neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.83
lower peripheral neuropathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.82
lower peripheral neuropathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.82
radiculopathy lower extremity femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
radiculopathy lower extremity femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
herniated disk lumbosacral spine status post diskectomy laminectomy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
malignant tumor base tongue bot,9006,Neurological - Cranial/Peripheral Nerves,0.06
transient ischemic attack,8979,Heart/Veins/Arteries,0.19
pure autonomic failure,8979,Heart/Veins/Arteries,0.2
dyspnea,9012,Respiratory,0.83
shortness breath,9012,Respiratory,0.99
toxic exposure,9012,Respiratory,0.44
gait disturbance pelvic imbalance,8996,Musculoskeletal - Hip,0.17
nerve foot numbness,9006,Neurological - Cranial/Peripheral Nerves,0.73
post surgical complications from jaw surgery,8967,Dental and Oral,0.37
insomnia,8989,Mental Disorders,0.95
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
lumbosacral strain thoracic strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
adhd,8989,Mental Disorders,0.9
vertigo,8969,Ear Disease and Other Sense Organs,0.83
insomnia,8989,Mental Disorders,0.95
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
insomnia,8989,Mental Disorders,0.95
restless leg syndrome,8988,Leg Condition - Neurological other System,0.47
obstructive sleep apnea,9012,Respiratory,0.99
lumbar radiculopathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.64
radiculopathy lower extremities sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.76
lumbosacral spine degenerative disc disease history laminectomy diskectomy strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
intervertebral disc syndrome ivds,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.67
dyspnea,9012,Respiratory,0.83
cystic acne,9016,Skin,0.75
bacterial fungal infection on lips,9016,Skin,0.28
receding gum line,8967,Dental and Oral,0.78
low blood sugar,8979,Heart/Veins/Arteries,0.2
afff exposure,9012,Respiratory,0.19
stomach issues indigestion,8968,Digestive,0.99
bacterial vaginosis,8978,Gynecological,0.49
adhd,8989,Mental Disorders,0.9
military sexual trauma,8989,Mental Disorders,0.46
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
enlarged heart,8979,Heart/Veins/Arteries,0.94
automatic atrial tachycardia,8979,Heart/Veins/Arteries,0.95
mental health,8989,Mental Disorders,0.93
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
rhabdomyolysis,8989,Mental Disorders,0.1
broken thumb,8995,Musculoskeletal - Hand,0.86
sleep disturbances,8989,Mental Disorders,0.6
syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.25
diarrhea,8968,Digestive,0.94
pharyngitis,9012,Respiratory,0.55
irritable bowel syndrome ibs constipation,8968,Digestive,1.0
insomnia,8989,Mental Disorders,0.95
lichen planus,9016,Skin,0.48
idiopathic hypersomnia,8989,Mental Disorders,0.41
herpetic keratitis,8974,Eye (Vision),0.53
mental health,8989,Mental Disorders,0.93
scars feet ankle,8991,Musculoskeletal - Ankle,1.0
toxic exsposure ship fire,9012,Respiratory,0.23
asbestosis exsposure,9012,Respiratory,0.86
other intervertebral disc degeneration previously rated lumbosacral strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.81
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
hyperlipidemia,8979,Heart/Veins/Arteries,0.57
squamous cell carcinoma,1250,Cancer - Skin,0.64
insomnia,8989,Mental Disorders,0.95
degenerative arthritis lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.86
restless legs,9007,Neurological other System,0.41
upper back strain,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.78
eye sight loss,8974,Eye (Vision),0.99
migraines headaches nd rhinitis sinusitis,9012,Respiratory,0.97
acid reflux,8968,Digestive,0.95
hemorrhoids from gerd,8968,Digestive,0.98
hearing loss ear from tinnitus,3140,Hearing Loss,1.0
knee strain sprain elevated,8997,Musculoskeletal - Knee,0.77
lower back strain lumbosacral strain elevated,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
fracture hand th metacarpal,8995,Musculoskeletal - Hand,0.98
ischemic heart disease,8979,Heart/Veins/Arteries,0.98
ischemic heart disease,8979,Heart/Veins/Arteries,0.98
scar on foot,9013,Scars (Extremities and Trunk),0.71
foot nerve damage,9006,Neurological - Cranial/Peripheral Nerves,0.57
toxic exposure,9012,Respiratory,0.44
neurological disorder,9007,Neurological other System,0.53
hip impairment,8996,Musculoskeletal - Hip,0.99
degenerative disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.76
degenerative arthritis spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.42
status post lumbar laminectomy spinal fusion degenerative disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
hip instability,8996,Musculoskeletal - Hip,0.97
hip instabilty,8996,Musculoskeletal - Hip,1.0
hip condtion,8996,Musculoskeletal - Hip,0.68
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
limited mobility,8994,Musculoskeletal - Foot,0.07
fatigue,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.52
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
visual impairment including blurry vision early cataracts neeed surgery address,8974,Eye (Vision),0.94
raspatory nasal issues nasal inflammation past inhaler reoccurring,9012,Respiratory,0.63
sciatica lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.92
toxic exposure related burn pits,9012,Respiratory,0.34
lumbar sprain spondylolisthesis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.93
lumbago claimed lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
cognitive impairment anthrax vaccine,8989,Mental Disorders,0.73
insomnia sleep disturbance,8989,Mental Disorders,0.97
endothelial corneal dystropy,8974,Eye (Vision),0.85
dermatophytosis tinea versicolor,9016,Skin,0.98
hypermetropia,8989,Mental Disorders,0.1
seborrheic dermatitis,9016,Skin,0.97
otitis persistent itching discomfort,9016,Skin,0.19
proctalgia fugax,8989,Mental Disorders,0.1
nocturia,8975,Genitourinary,0.67
dysuria,8989,Mental Disorders,0.1
tendonitis tendinitis quadriceps,9005,Musculoskeletal and Muscle Injuries,0.31
tinnitus wind like sounds pressure ears,3140,Hearing Loss,0.2
cicatricial alopecia scarring alopecia,9016,Skin,0.86
tinnitus intermittent afsc c radar airfield weather systems maintenance,3140,Hearing Loss,0.17
scars feet,8989,Mental Disorders,0.1
anterior lower inner breast mm isodense circumscribed mass,8978,Gynecological,0.08
pelvic low libido,8978,Gynecological,0.45
ovarian cysts uterine nabothian cyst,8978,Gynecological,0.73
dysmenorrhea menorrhagia uterine fibroids leiomyoma uterus,8978,Gynecological,0.99
corneal degeneration peripheral pellucid marginal,8974,Eye (Vision),0.87
constipation,8968,Digestive,0.93
pityriasis rosea,8989,Mental Disorders,0.1
acne hirsutism,9016,Skin,0.97
severe plantar fasciitis,8994,Musculoskeletal - Foot,0.95
severe pes planus,8994,Musculoskeletal - Foot,0.41
inferior calcaneal spur,8994,Musculoskeletal - Foot,0.3
ankle tendinosis,8991,Musculoskeletal - Ankle,0.88
chondromalacia patellae knee,8997,Musculoskeletal - Knee,0.98
hip prosthetic hip hardware,8996,Musculoskeletal - Hip,0.98
disfiguring scar hip post hip replacement,8996,Musculoskeletal - Hip,0.95
hip limited flexion post hip replacement,8996,Musculoskeletal - Hip,1.0
hip limited adduction post hip replacement,8996,Musculoskeletal - Hip,1.0
hip limited abduction post hip replacement,8996,Musculoskeletal - Hip,1.0
hip limited abduction,8996,Musculoskeletal - Hip,0.96
hip osteoarthritis hip dysplasia,8996,Musculoskeletal - Hip,0.99
lumbago sciatica narrowing l l disk spaces,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.93
thumb limited flexion,8995,Musculoskeletal - Hand,0.64
carpal tunnel syndrome upper limb,9006,Neurological - Cranial/Peripheral Nerves,0.85
wrist limited flexion dequervains diease,9004,Musculoskeletal - Wrist,0.79
adjustment disorder mixed anxiety depressed mood insomnia,8989,Mental Disorders,1.0
sleep maintenance insomnia,8989,Mental Disorders,0.96
residual scar knee,9013,Scars (Extremities and Trunk),0.82
labral tear hip,8996,Musculoskeletal - Hip,0.94
insomnia,8989,Mental Disorders,0.95
neck arthritis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.81
fibroids,8989,Mental Disorders,0.1
sexual trauma,8989,Mental Disorders,0.48
cervical spine strain,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.98
thoracolumbar strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.87
insomnia,8989,Mental Disorders,0.95
iliacus,8989,Mental Disorders,0.1
hand fingers,8995,Musculoskeletal - Hand,0.95
palpitations,8989,Mental Disorders,0.1
dizziness,8969,Ear Disease and Other Sense Organs,0.63
impacted tooth dx,8967,Dental and Oral,0.92
conjunctivitis dx,8974,Eye (Vision),0.87
dyspnea dx,9012,Respiratory,0.83
adjustment disorder anxiety depression insomnia dx,8989,Mental Disorders,1.0
blepharitis dx,8974,Eye (Vision),0.65
index finger dx,8995,Musculoskeletal - Hand,0.86
foot dx,8994,Musculoskeletal - Foot,0.96
eye stye dx,8974,Eye (Vision),1.0
upper respiratory infection dx,9012,Respiratory,0.98
viral bronchitis dx,9012,Respiratory,0.99
hallux dx,8994,Musculoskeletal - Foot,0.77
wheezing aggravated dx dx,9012,Respiratory,0.56
knee patellofemoral disorders tendinitis dx dx,8997,Musculoskeletal - Knee,1.0
iliotibial band syndrome dx,8997,Musculoskeletal - Knee,0.29
epididymitis dx,8975,Genitourinary,0.84
back dorsalgia dx,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
sinusitis dx,9012,Respiratory,0.98
headaches tension migraine type,9007,Neurological other System,0.76
cold weather residuals joint finger stiffness,8995,Musculoskeletal - Hand,0.38
skin dry flaky elbows,9016,Skin,0.95
rib separation residual injury,9005,Musculoskeletal and Muscle Injuries,0.23
index finger crush injury stiffness hand locking,8995,Musculoskeletal - Hand,0.88
knee shoulder joint,9002,Musculoskeletal - Shoulder,0.38
tinnitus ringing ears,3140,Hearing Loss,0.98
sleep apnea cpap treatment,9012,Respiratory,0.9
cervical degenerative disc disease strain,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.89
vertigo,8969,Ear Disease and Other Sense Organs,0.83
