text_to_classify,predicted_code,predicted_label,prediction_probability
thoracolumbar strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.87
hip strain,8996,Musculoskeletal - Hip,0.99
hip strain,8996,Musculoskeletal - Hip,0.99
tension headaches,9007,Neurological other System,0.49
sleep paralysis,8989,Mental Disorders,0.55
generalized anxiety disorder include other specified depressive disorder,8989,Mental Disorders,0.95
hip bursitis impairment thigh,8996,Musculoskeletal - Hip,1.0
insomnia disorder,8989,Mental Disorders,0.98
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
cervical spine degenerative disc disease spinal fusion,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.8
hip bursitis limitation flexion thigh,8996,Musculoskeletal - Hip,1.0
hip bursitis limitation extension thigh,8996,Musculoskeletal - Hip,1.0
insomnia,8989,Mental Disorders,0.95
bladder infections,8975,Genitourinary,0.85
middle ear myoclonus mem,8969,Ear Disease and Other Sense Organs,0.67
depressive disorder psychotic features,8989,Mental Disorders,0.88
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
intervertebral disc syndrome herniated disc lumbar spine previously rated lumbosacral strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
broken hand,8995,Musculoskeletal - Hand,0.86
shoulder sprain non dominant claimed arm,9002,Musculoskeletal - Shoulder,0.89
lumber spine sacral contusion claimed lower tail bone,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.77
sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.78
painful lateral ankle instability,8991,Musculoskeletal - Ankle,0.94
painful knee strain sprain,8997,Musculoskeletal - Knee,0.95
painful knee strain sprain,8997,Musculoskeletal - Knee,0.95
cervical myositis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.21
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
acid reflux,8968,Digestive,0.95
heartburn,8968,Digestive,0.83
scalp psoriasis,9016,Skin,0.96
temporomandibular joint dysfunction,249481,Dental and Oral - Musculoskeletal,0.73
bruxism,8967,Dental and Oral,0.55
substance abuse disorder,8989,Mental Disorders,0.93
insomnia,8989,Mental Disorders,0.95
mental health,8989,Mental Disorders,0.93
meineres syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.25
depressive disorder posttraumatic stress disorder,8989,Mental Disorders,0.76
ankle instability,8991,Musculoskeletal - Ankle,0.99
lower radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.7
degenerative arthritis thoracolumbar spine intervertebral disc syndrome,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.91
radiculopathy lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.45
lumbosacral strain sacroiliitis referred lumbosacral strain sacroiliac joint osteoarthritis claimed si joint osteoarthritis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
knee anterior cruciate ligament acl meniscal tear status post acl reconstruction partial lateral meniscectomy claimed knee acl meniscal tear,8997,Musculoskeletal - Knee,0.99
hip sprain claimed snapping hip syndrome,8996,Musculoskeletal - Hip,0.99
hip sprain limitation flexion claimed snapping hip syndrome,8996,Musculoskeletal - Hip,1.0
carpal tunnel syndrome wrist claimed carpal tunnel syndrome,9004,Musculoskeletal - Wrist,0.64
hip sprain claimed snapping hip syndrome,8996,Musculoskeletal - Hip,0.99
hip sprain limitation extension claimed snapping hip syndrome,8996,Musculoskeletal - Hip,1.0
persistent depressive disorder pure dysthymic syndrome previously rated adjustment disorder mixed anxiety depressed mood,8989,Mental Disorders,0.99
tinea corporis,9016,Skin,0.85
insomnia,8989,Mental Disorders,0.95
intervertebral disc syndrome,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.53
ankle swelling,8991,Musculoskeletal - Ankle,0.96
joint tightness,9005,Musculoskeletal and Muscle Injuries,0.23
insomnia,8989,Mental Disorders,0.95
headaches not otherwise specified,8989,Mental Disorders,0.41
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
radiculopathy lower extremity sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
persistent insomnia disorder,8989,Mental Disorders,0.94
hypoactive sexual desire disorder,8989,Mental Disorders,0.69
interstitial cystitis,8975,Genitourinary,0.42
insomnia,8989,Mental Disorders,0.95
breast abscess,8978,Gynecological,0.31
hidradenitis suppurativa,9016,Skin,0.78
sleep disturbances,8989,Mental Disorders,0.6
vertigo,8969,Ear Disease and Other Sense Organs,0.83
sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.78
femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.67
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
pact act related disability,9012,Respiratory,0.39
memory loss,8989,Mental Disorders,0.75
upper radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.55
upper radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.55
lower femoral radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.7
lower femoral radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.7
degenerative arthritis lumbar disc herniation radicular,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.76
migraine including migraine variants,9007,Neurological other System,0.75
knee meniscal tear,8997,Musculoskeletal - Knee,0.99
limitation flexion knee,8997,Musculoskeletal - Knee,0.99
limitation extension knee,8997,Musculoskeletal - Knee,0.99
degenerative arthritis spine neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.92
sciatic nerve radiculopathy lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.83
sciatic nerve radiculopathy lower extremity,9006,Neurological - Cranial/Peripheral Nerves,0.83
lateral radiculopathy,9007,Neurological other System,0.44
ankle weakness,8991,Musculoskeletal - Ankle,0.87
knee strains,8997,Musculoskeletal - Knee,1.0
hip impairment abduction adduction,8996,Musculoskeletal - Hip,0.98
hip impairment abduction adduction,8996,Musculoskeletal - Hip,0.98
hip limitation extension,8996,Musculoskeletal - Hip,0.99
hip limitation extension,8996,Musculoskeletal - Hip,0.99
hip limitation flexion,8996,Musculoskeletal - Hip,0.99
hip limitation flexion,8996,Musculoskeletal - Hip,0.99
hypertension pact act presumptive,8979,Heart/Veins/Arteries,0.6
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
unspecified anxiety disorder,8989,Mental Disorders,0.99
acquired psychiatric include unspecified trauma stressor related disorder claimed anxiety depression insomnia,8989,Mental Disorders,0.98
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
feet ankle,8991,Musculoskeletal - Ankle,1.0
hypertension high blodd pressure,8979,Heart/Veins/Arteries,0.99
cerebral venous sinus thrombosis,9012,Respiratory,0.27
vertigo,8969,Ear Disease and Other Sense Organs,0.83
back injury,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.9
pact act,9012,Respiratory,0.5
migraine headaches,9007,Neurological other System,0.71
numbness arms,9006,Neurological - Cranial/Peripheral Nerves,0.52
shortness breath,9012,Respiratory,0.99
heel,8994,Musculoskeletal - Foot,0.77
knee effusion,8997,Musculoskeletal - Knee,0.95
ear hearing loss,3140,Hearing Loss,1.0
numular eczema hands,9016,Skin,0.99
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
knee limitation flexion,8997,Musculoskeletal - Knee,0.99
knee limitation extension,8997,Musculoskeletal - Knee,0.99
knee limitation flexion,8997,Musculoskeletal - Knee,0.99
knee limitation extension,8997,Musculoskeletal - Knee,0.99
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
radiculopathy lower extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower extremity radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower extremity radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower extremity radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower extremity radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lumbosacral strain thoracic back strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.99
migraine migraine variants,9007,Neurological other System,0.71
chorda tympani neuropathy middle ear claimed nerve damage ear nerve xii,9006,Neurological - Cranial/Peripheral Nerves,0.66
hearing loss previously ear only,3140,Hearing Loss,0.99
lower sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.76
lower femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.69
male erectile dysfunction lack sexual interest willingness sexual intimate,8975,Genitourinary,0.82
excessive sweating hands feet armpits night sweats,9016,Skin,0.44
bruxism,8967,Dental and Oral,0.55
insomnia disorder sleep impairment,8989,Mental Disorders,0.98
arm arm,8929,Arm Condition - Neurological other System,0.51
numbness tingling weakness both feet,9006,Neurological - Cranial/Peripheral Nerves,0.7
upper back neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.97
lumbosacral spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
knee joint osteoarthritis recurrent patellar dislocation patellofemoral syndrome,8997,Musculoskeletal - Knee,0.98
anxiety disorder unspecified,8989,Mental Disorders,0.99
knee joint osteoarthritis recurrent patellar dislocation patellofemoral syndrome,8997,Musculoskeletal - Knee,0.98
lateral collateral ligament sprain ankle,8991,Musculoskeletal - Ankle,0.99
carcinogen exposure,9012,Respiratory,0.35
cubital tunnel,9006,Neurological - Cranial/Peripheral Nerves,0.45
chondromalacia knee,8997,Musculoskeletal - Knee,0.98
posttraumatic stress disorder ptsd,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.66
cholesterol,8979,Heart/Veins/Arteries,0.38
sleep apnea headaches do sinitus,9012,Respiratory,0.99
nerve damage,9006,Neurological - Cranial/Peripheral Nerves,0.6
fatigue syndrome cfs fibromyalgia,9007,Neurological other System,0.52
carpal tunnel,9006,Neurological - Cranial/Peripheral Nerves,0.67
hiatal hernia iheartburn chest,8968,Digestive,0.62
muscle tension,9005,Musculoskeletal and Muscle Injuries,0.29
spondylolisthesis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.38
sciatica lumbar radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.6
insomia,8989,Mental Disorders,0.1
vertigo menieres disease,8969,Ear Disease and Other Sense Organs,0.79
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.25
shoulder pains,9002,Musculoskeletal - Shoulder,1.0
numbness back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.74
lower extremity shooting pains,9006,Neurological - Cranial/Peripheral Nerves,0.58
strain lumbosacral spine include arthritis claimed lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
lower radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.86
upper extremity peripheral neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.82
upper extremity peripheral neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.82
lower extremity peripheral neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.8
lower extremity peripheral neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.8
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
gastroesophageal reflux disorder,8968,Digestive,0.96
temporomandibular joint dysfunction,249481,Dental and Oral - Musculoskeletal,0.73
temporomandibular joint dysfunction,249481,Dental and Oral - Musculoskeletal,0.73
bruxism,8967,Dental and Oral,0.55
knee extension,8997,Musculoskeletal - Knee,0.99
knee limitation rotation,8997,Musculoskeletal - Knee,0.91
knee limitation flexion,8997,Musculoskeletal - Knee,0.99
knee extension,8997,Musculoskeletal - Knee,0.99
knee limitation rotation,8997,Musculoskeletal - Knee,0.91
knee limitation flexion,8997,Musculoskeletal - Knee,0.99
dysuria,8989,Mental Disorders,0.1
shoulder strain djd,9002,Musculoskeletal - Shoulder,0.91
diabetes ii,8973,Endocrine,0.9
lateral epicondylitis elbow,8993,Musculoskeletal - Elbow,1.0
lateral epicondylitis elbow,8993,Musculoskeletal - Elbow,1.0
upper respiratory infection asthma,9012,Respiratory,1.0
pseudo folliculitis barbae,9016,Skin,0.94
other specified trauma stressor related disorder,8989,Mental Disorders,0.97
insomnia,8989,Mental Disorders,0.95
snapping ankles,8989,Mental Disorders,0.1
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
insomnia,8989,Mental Disorders,0.95
middle back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.93
hand tendonitis painful motion ring finger,8995,Musculoskeletal - Hand,0.98
hand tendonitis painful motion little finger,8995,Musculoskeletal - Hand,0.98
hand tendonitis painful motion ring finger,8995,Musculoskeletal - Hand,0.98
hand tendonitis painful motion little finger,8995,Musculoskeletal - Hand,0.98
lower back herniated disk,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
intervertebral disc syndrome previously rated low back strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.93
post traumatic headaches,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.39
residuals traumatic brain injury tbi,9020,Traumatic Brain Injury,0.99
knee arthroscopy meniscal tear previously rated patellofemoral syndrome strain knee,8997,Musculoskeletal - Knee,1.0
tension headaches,9007,Neurological other System,0.49
vertigo,8969,Ear Disease and Other Sense Organs,0.83
stress continence,8989,Mental Disorders,0.83
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
chest muscles shoulder girdle,9002,Musculoskeletal - Shoulder,0.6
insomnia,8989,Mental Disorders,0.95
upper radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.55
hearing loss ear,3140,Hearing Loss,1.0
ear hearing loss,3140,Hearing Loss,1.0
osgood schlatters disease retropatellar syndrome knee,8997,Musculoskeletal - Knee,0.9
fatty liver disease,8968,Digestive,0.68
mental health include insomnia,8989,Mental Disorders,0.85
arthritis,8992,Musculoskeletal - Arthritis,0.95
obstructive sleep apnea syndrome,9012,Respiratory,0.97
excezma,8989,Mental Disorders,0.1
bone spurs neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.69
other specified trauma stressor related disorder adjustment disorder,8989,Mental Disorders,0.99
shoulder strain rotator cuff tear dominant,9002,Musculoskeletal - Shoulder,1.0
other specified trauma stressor related disorder,8989,Mental Disorders,0.97
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
cervical spine arthritis c c neural foraminal narrowing,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.46
hallux valgus pes cavus foot claimed foot bunion,8994,Musculoskeletal - Foot,1.0
vertigo,8969,Ear Disease and Other Sense Organs,0.83
foot corn calluses,8994,Musculoskeletal - Foot,0.48
dental,8967,Dental and Oral,0.79
depression hypertension,8989,Mental Disorders,0.5
tensonitis,8989,Mental Disorders,0.1
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
degenerative disc disease lumbosacral strain claimed disc degeneration between l l l,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.91
insomnia,8989,Mental Disorders,0.95
scar wrist distal forearm,9013,Scars (Extremities and Trunk),0.61
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
shoulder degenerative joint disease,9002,Musculoskeletal - Shoulder,0.73
ankle degenerative joint disease strain,8991,Musculoskeletal - Ankle,0.85
foot degenerative joint disease,8994,Musculoskeletal - Foot,0.73
foot degenerative joint disease,8994,Musculoskeletal - Foot,0.73
degenerative disc disease lumbar spine strain history sciatica,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
shoulder degenerative joint disease minor,9002,Musculoskeletal - Shoulder,0.53
insomnia,8989,Mental Disorders,0.95
lower extremity radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower extremity radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower extremity radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
brain concussion,9020,Traumatic Brain Injury,0.87
asbestos exposure,9012,Respiratory,0.78
scar burns,9013,Scars (Extremities and Trunk),0.85
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
mental health include anxiety,8989,Mental Disorders,0.83
pilonidal cyst,8966,Cyst/Benign Growth - Skin,0.32
vertigo,8969,Ear Disease and Other Sense Organs,0.83
spinal fracture,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.54
coughingt throat irritation,9012,Respiratory,0.53
femoral nerve damage,9006,Neurological - Cranial/Peripheral Nerves,0.66
sciatic nerve issues,9006,Neurological - Cranial/Peripheral Nerves,0.78
nerve damage down arm,9006,Neurological - Cranial/Peripheral Nerves,0.54
tmj lockjaw,8967,Dental and Oral,0.52
plantar fasciitis flat feet,8994,Musculoskeletal - Foot,0.98
scars,8989,Mental Disorders,0.1
tinnitus hearing loss,3140,Hearing Loss,1.0
shaving bumps,9016,Skin,0.59
anxiety depressive episodes,8989,Mental Disorders,0.99
ptsd insomnia,8989,Mental Disorders,0.81
loss ability perform tasks,3140,Hearing Loss,0.46
walking movement,9006,Neurological - Cranial/Peripheral Nerves,0.12
hips extreme,8989,Mental Disorders,0.11
thoracic bulging discs,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.57
lumbar bulging discs,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.66
cervical spondylosis spinal stenosis intervertebral disc syndrome,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.82
degenerative disc disease thoracolumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
greater trochanteric syndrome instability,8996,Musculoskeletal - Hip,0.33
greater trochanteric syndrome extension,8996,Musculoskeletal - Hip,0.6
greater trochanteric syndrome flexion,8996,Musculoskeletal - Hip,0.63
greater trochanteric syndrome instability,8996,Musculoskeletal - Hip,0.33
greater trochanteric syndrome extension,8996,Musculoskeletal - Hip,0.6
greater trochanteric syndrome flexion,8996,Musculoskeletal - Hip,0.63
greater trochanteric syndrome limited rom,8996,Musculoskeletal - Hip,0.23
greater trochanteric syndrome limited rom,8996,Musculoskeletal - Hip,0.23
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
lower extremity radiculopathy femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
bruxism,8967,Dental and Oral,0.55
recurrent headaches,8989,Mental Disorders,0.12
lumbosacral strain claimed back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
ankle status post brostrum surgery claimed surgical loss range motion,8991,Musculoskeletal - Ankle,0.76
permanent hearing loss ear,3140,Hearing Loss,0.92
tonsillitis,9012,Respiratory,0.36
anxiety adjustment disorder adhd,8989,Mental Disorders,1.0
hernia,8968,Digestive,0.82
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
heartburn,8968,Digestive,0.83
fatigue syndrome cfs fibromyalgia,9007,Neurological other System,0.52
carpal tunnel,9006,Neurological - Cranial/Peripheral Nerves,0.67
hiatal hernia iheartburn chest,8968,Digestive,0.62
muscle tension,9005,Musculoskeletal and Muscle Injuries,0.29
spondylolisthesis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.38
sciatica lumbar radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.6
insomia,8989,Mental Disorders,0.1
vertigo menieres disease,8969,Ear Disease and Other Sense Organs,0.79
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
fatigue syndrome cfs fibromyalgia,9007,Neurological other System,0.52
carpal tunnel,9006,Neurological - Cranial/Peripheral Nerves,0.67
hiatal hernia iheartburn chest,8968,Digestive,0.62
muscle tension,9005,Musculoskeletal and Muscle Injuries,0.29
spondylolisthesis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.38
sciatica lumbar radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.6
insomia,8989,Mental Disorders,0.1
vertigo menieres disease,8969,Ear Disease and Other Sense Organs,0.79
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
posttraumatic stress disorder,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.44
depression disorder recurrent severe psychosis,8989,Mental Disorders,0.98
other specified truma stressor related disorder,8989,Mental Disorders,0.96
scar upper extremity inspire placement,9013,Scars (Extremities and Trunk),0.75
scar upper extremity inspire placement painful,9013,Scars (Extremities and Trunk),0.74
hallux valgus foot,8994,Musculoskeletal - Foot,0.99
shaved throat,9012,Respiratory,0.48
residuals removal adenoids tonsils,8968,Digestive,0.15
traumatic mydriasis eye,8974,Eye (Vision),0.98
painful scar foot status post bunionectomy hallux valgus surgery,8994,Musculoskeletal - Foot,0.8
patellofemoral knee status post partial synovectomy lateral release,8997,Musculoskeletal - Knee,0.94
thyroid nodular disease non malignant,8973,Endocrine,0.3
surgical scar foot status post bunionectomy hallux valgus surgery,8994,Musculoskeletal - Foot,0.76
scar great toe,9013,Scars (Extremities and Trunk),0.73
hallux valgus foot status post metatarsal head resection now arthritis,8994,Musculoskeletal - Foot,0.95
scar upper arm status post excision schwannoma,9013,Scars (Extremities and Trunk),0.83
retropatellar syndrome knee,8997,Musculoskeletal - Knee,0.96
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
hip synovitis,8996,Musculoskeletal - Hip,0.76
ulnar neuropathy status post excision schwannoma,9006,Neurological - Cranial/Peripheral Nerves,0.36
arthritis foot,8994,Musculoskeletal - Foot,0.82
tdy assignments mildenhall afb uk mcchord afb wa ft drum ny torrejon afb spain goosebay labrador ramstein germany barksdale afb la rhein main ab germany,8989,Mental Disorders,0.1
replying questions asbestos exposure worked on c c rc floors floor cleaners squadron shops assignments pope afb nc mcguire afb nj hellenikon afb athens greece carswell afb tinker afb ok,9012,Respiratory,0.56
insomnia,8989,Mental Disorders,0.95
seborrheic dermatitis,9016,Skin,0.97
knee patellofemoral syndrome cyst excision,8997,Musculoskeletal - Knee,0.93
knee patellofemoral syndrome,8997,Musculoskeletal - Knee,1.0
shoulder face cystic acne scars,9016,Skin,0.77
lumbar strain sacralization,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
lower extremity radiculopathy sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.83
lumbosacral strain degenerative arthritis degenerative disc disease ddd,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.91
grade diastolic dysfunction ventricle hypertrophy,8979,Heart/Veins/Arteries,0.35
numbness upper limbs,9006,Neurological - Cranial/Peripheral Nerves,0.45
restless leg syndrome,8988,Leg Condition - Neurological other System,0.47
irritable bowel syndrome pact act,8968,Digestive,0.81
anemia deficiency,8981,Hemic and Lymphatic,0.63
vitamin deficiency,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.75
vitamin d deficiency,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.75
urinary tract infectious disease,8975,Genitourinary,0.85
combat ptsd post traumatic stress disorder alcohol tobacco cannabis,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.99
sinusitis pact act,9012,Respiratory,0.95
insomnia,8989,Mental Disorders,0.95
obstructive sleep apnea,9012,Respiratory,0.99
arm numbness,8929,Arm Condition - Neurological other System,0.65
neck upper back,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.97
patello femoral syndrome,9006,Neurological - Cranial/Peripheral Nerves,0.2
hip bursitis degenerative arthritis osteoarthritis,8996,Musculoskeletal - Hip,0.93
dizziness giddiness previously diagnosed labyrinthitis benign paroxysmal positional vertigo,8969,Ear Disease and Other Sense Organs,0.84
posttraumatic stress disorder depressive disorder,8989,Mental Disorders,0.76
migraine headaches,9007,Neurological other System,0.71
asthma emphysema bronchitis,9012,Respiratory,1.0
insomnia,8989,Mental Disorders,0.95
depression disorder recurrent severe psychosis,8989,Mental Disorders,0.98
other specified truma stressor related disorder,8989,Mental Disorders,0.96
scar upper extremity inspire placement,9013,Scars (Extremities and Trunk),0.75
scar upper extremity inspire placement painful,9013,Scars (Extremities and Trunk),0.74
hallux valgus foot,8994,Musculoskeletal - Foot,0.99
shaved throat,9012,Respiratory,0.48
residuals removal adenoids tonsils,8968,Digestive,0.15
traumatic mydriasis eye,8974,Eye (Vision),0.98
painful scar foot status post bunionectomy hallux valgus surgery,8994,Musculoskeletal - Foot,0.8
patellofemoral knee status post partial synovectomy lateral release,8997,Musculoskeletal - Knee,0.94
thyroid nodular disease non malignant,8973,Endocrine,0.3
surgical scar foot status post bunionectomy hallux valgus surgery,8994,Musculoskeletal - Foot,0.76
