text_to_classify,expected_classification,expected_classification_label,prediction,prediction_label,is_accurate
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
shoulder strain,9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
wrist strain,9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
elbow strain,8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
"radiculopathy, bilateral upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
dry eye syndrome,8974,Eye (Vision),8974,Eye (Vision),True
"degenerative arthritis (osteoarthritis) in hip, right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
asthma,9012,Respiratory,9012,Respiratory,True
knee instability,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
knee instability,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016,Skin,9016,Skin,True
"diabetes, type 1 or type 2",8973,Endocrine,8973,Endocrine,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"spinal arthritis, back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
"hammer toe, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
panic disorder,8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
hand,8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"ankylosis in hand or fingers, bilateral",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"degenerative arthritis (osteoarthritis) in shoulder, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
sleep apnea,9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
arrhythmia (irregular heartbeat),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
COPD,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
"patellofemoral pain syndrome, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
"degenerative arthritis (osteoarthritis) in shoulder, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"tenosynovitis in wrist, right",9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
allergic rhinitis,9012,Respiratory,9012,Respiratory,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
PTSD,8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"scars, head, face or neck",9014,"Scars (Head, Face, Or Neck)",9014,"Scars (Head, Face, Or Neck)",True
"shin splints, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
obsessive compulsive disorder (OCD),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
female sexual arousal disorder (FSAD),8978,Gynecological,8978,Gynecological,True
bipolar disorder,8989,Mental Disorders,8989,Mental Disorders,True
"ankle sprain, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
acne,9016,Skin,9016,Skin,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
hypothyroidism (underactive thyroid),8973,Endocrine,8973,Endocrine,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
Sleep Apnea,9012,Respiratory,9012,Respiratory,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"degenerative arthritis (osteoarthritis) in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
sleep apnea,9012,Respiratory,9012,Respiratory,True
female sexual arousal disorder (FSAD),8978,Gynecological,8978,Gynecological,True
Headaches,9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
kidney stones (nephrolithiasis),8975,Genitourinary,8975,Genitourinary,True
shoulder,9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
hyperthyroidism (overactive thyroid),8973,Endocrine,8973,Endocrine,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
plantar warts,9016,Skin,9016,Skin,True
"knee instability, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
urinary incontinence (loss of bladder control),8975,Genitourinary,8975,Genitourinary,True
"scars, extremities or trunk",9013,Scars (Extremities and Trunk),9013,Scars (Extremities and Trunk),True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"degenerative arthritis (osteoarthritis) in foot, left",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016,Skin,9016,Skin,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
anxiety,8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
persistent depressive disorder (dysthymic disorder),8989,Mental Disorders,8989,Mental Disorders,True
athlete's foot (tinea pedis),9016,Skin,9016,Skin,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
Depression,8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"ankle sprain, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"knee instability, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"carpal tunnel syndrome, right",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"degenerative arthritis (osteoarthritis) in shoulder, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"radiculopathy, right upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
traumatic brain injury (TBI),9020,Traumatic Brain Injury,9020,Traumatic Brain Injury,True
wrist,9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"plantar fasciitis, right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"plantar fasciitis, left",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
atopic dermatitis,9016,Skin,9016,Skin,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
asthma,9012,Respiratory,9012,Respiratory,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
dry eye syndrome,8974,Eye (Vision),8974,Eye (Vision),True
allergic rhinitis,9012,Respiratory,9012,Respiratory,True
Acne,9016,Skin,9016,Skin,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
foot,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
foot,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
Lung Condition,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
enlarged prostate (benign prostatic hyperplasia or BPH),8975,Genitourinary,8975,Genitourinary,True
hypothyroidism (underactive thyroid),8973,Endocrine,8973,Endocrine,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
depression,8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
anxiety,8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"shoulder strain, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"ankylosis in ankle, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
female sexual arousal disorder (FSAD),8978,Gynecological,8978,Gynecological,True
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
acne,9016,Skin,9016,Skin,True
"visual impairment, including blurry vision, blindness and double vision",8974,Eye (Vision),8974,Eye (Vision),True
urinary incontinence (loss of bladder control),8975,Genitourinary,8975,Genitourinary,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"shin splints, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"bunions (hallux valgus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
hyperhidrosis (excessive sweating),9016,Skin,9016,Skin,True
"knee condition, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"hip condition, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
middle back sprain (thoracic sprain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"shoulder condition, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
dry eye syndrome,8974,Eye (Vision),8974,Eye (Vision),True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
diabetes type,8973,Endocrine,8973,Endocrine,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
Sinusitis,9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
allergic rhinitis,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
eczema (atopic dermatitis),9016,Skin,9016,Skin,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
asthma,9012,Respiratory,9012,Respiratory,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"diabetic peripheral neuropathy, bilateral upper extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
Sleep Apnea,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
Meniere's disease,8969,Ear Disease and Other Sense Organs,8969,Ear Disease and Other Sense Organs,True
"scars, extremities or trunk",9013,Scars (Extremities and Trunk),9013,Scars (Extremities and Trunk),True
athlete's foot (tinea pedis),9016,Skin,9016,Skin,True
"knee condition, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"hip condition, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
"elbow condition, bilateral",8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
"shoulder condition, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
back low,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
ed,8975,Genitourinary,8975,Genitourinary,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
athlete's foot (tinea pedis),9016,Skin,9016,Skin,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"bursitis in elbow, left",8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"metatarsalgia (pain in ball of foot), right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hemorrhoids,8968,Digestive,8968,Digestive,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"knee condition, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
"varicose veins in leg, bilateral",8987,Leg Condition - Heart/Veins/Arteries,8987,Leg Condition - Heart/Veins/Arteries,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"shoulder strain, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
arrhythmia (irregular heartbeat),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
Hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
migraine,9007,Neurological other System,9007,Neurological other System,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
stomach cancer,8932,Cancer - Digestive,8932,Cancer - Digestive,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
cranial neuralgia (cranial nerve pain),9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
herpes (herpes simplex virus or HSV),9016,Skin,9016,Skin,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
shoulder,9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
Rhinitis,9012,Respiratory,9012,Respiratory,True
Sleep Apnea,9012,Respiratory,9012,Respiratory,True
knee replacement,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
hip,8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
shoulder,9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
low back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
fibromyalgia,9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"radiculopathy, left lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"bursitis in hip, left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
deviated septum,9012,Respiratory,9012,Respiratory,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
fibromyalgia,9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"Knee Condition, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"Hip Condition, right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"shoulder impingement syndrome, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016,Skin,9016,Skin,True
hemorrhoids,8968,Digestive,8968,Digestive,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
