# rows of data: 5000,  
# @contention_text,@classification_code
"knee strain or sprain, left",8997
"knee strain or sprain, right",8997
unmapped contention text ['foot'],8994
GERD (gastroesophageal reflux disease),8968
"diabetic peripheral neuropathy, bilateral lower extremities",9006
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
"bursitis in shoulder, right",9002
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
Sinusitis,9012
enlarged prostate (benign prostatic hyperplasia or BPH),8975
GERD (gastroesophageal reflux disease),8968
erectile dysfunction (ED),8975
GERD (gastroesophageal reflux disease),8968
unmapped contention text ['knee'],8997
unmapped contention text ['knee'],8997
unmapped contention text ['migraines'],9007
"ACL tear (anterior cruciate ligament tear), left",8997
unmapped contention text ['hip'],8996
migraines (headaches),9007
sleep apnea,9012
"metatarsalgia (pain in ball of foot), left",8994
"deep vein thrombosis (DVT) in leg, left",8987
GERD (gastroesophageal reflux disease),8968
lower back strain (lumbosacral strain),8998
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
Rectal Bleeding,8968
unmapped contention text ['ankle'],8991
"flatfoot (pes planus), bilateral",8994
lower back strain (lumbosacral strain),8998
"ankylosis in knee, right",8997
"ankylosis in ankle, right",8991
chronic sinusitis,9012
"hip impingement (femoroacetabular impingement or FAI), right",8996
"hip impingement (femoroacetabular impingement or FAI), left",8996
sleep apnea,9012
GERD (gastroesophageal reflux disease),8968
unmapped contention text ['knee'],8997
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
tinnitus (ringing or hissing in ears),3140
generalized anxiety disorder (GAD),8989
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
sleep apnea,9012
unmapped contention text ['depressive disorder'],8989
generalized anxiety disorder (GAD),8989
somatic symptom disorder (SSD),8989
neck strain (cervical strain),8999
migraines (headaches),9007
unmapped contention text ['hearing loss'],3140
unmapped contention text ['tinnitus'],3140
hearing loss,3140
unmapped contention text ['skin'],9016
"knee instability, right",8997
atrial fibrillation (A-fib),8979
"carpal tunnel syndrome, bilateral",9006
persistent depressive disorder (dysthymic disorder),8989
illness anxiety disorder (hypochondria),8989
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
urinary incontinence (loss of bladder control),8975
"shin splints, bilateral",8997
"flatfoot (pes planus), bilateral",8994
sleep apnea,9012
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
prostate cancer,8935
hearing loss,3140
erectile dysfunction (ED),8975
migraines (headaches),9007
hypertension (high blood pressure),8979
PTSD,8989
tinnitus,3140
unmapped contention text ['knee'],8997
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
lower back strain (lumbosacral strain),8998
"radiculopathy, left lower extremities",8998
chronic fatigue syndrome,8986
"scars, head, face or neck",9014
GERD (gastroesophageal reflux disease),8968
"wrist sprain, left",9004
"knee strain or sprain, bilateral",8997
GERD (gastroesophageal reflux disease),8968
"ankylosis in ankle, right",8991
"tendonitis (tendinitis) in foot, bilateral",8994
"flatfoot (pes planus), bilateral",8994
hypertension (high blood pressure),8979
unmapped contention text ['lower back'],8998
"knee instability, right",8997
"greater trochanteric pain syndrome (lateral hip pain), right",8996
"bursitis in hip, right",8996
"patellofemoral pain syndrome, left",8997
sleep apnea,9012
female sexual arousal disorder (FSAD),8978
"ankle sprain, bilateral",8991
middle back sprain (thoracic sprain),8998
lower back sprain (lumbosacral sprain),8998
"shoulder impingement syndrome, right",9002
"degenerative arthritis (osteoarthritis) in knee, right",8997
hypertension (high blood pressure),8979
depression (major depressive disorder),8989
panic disorder,8989
illness anxiety disorder (hypochondria),8989
depression (major depressive disorder),8989
adjustment disorder,8989
unmapped contention text ['knee'],8997
irritable bowel syndrome (IBS),8968
unmapped contention text ['neck'],8999
"degenerative arthritis (osteoarthritis) in elbow, bilateral",8993
erectile dysfunction (ED),8975
"degenerative arthritis (osteoarthritis) in shoulder, bilateral",9002
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991
GERD (gastroesophageal reflux disease),8968
female sexual arousal disorder (FSAD),8978
urinary incontinence (loss of bladder control),8975
"shoulder strain, left",9002
"temporomandibular disorder, including TMJ",249481
"scars, extremities or trunk",9013
chronic fatigue syndrome,8986
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
PTSD (post-traumatic stress disorder),8989
hearing loss,3140
"chronic rhinitis, allergic or non-allergic",9012
unmapped contention text ['vaginitis'],8978
"plantar warts (foot warts), left",9016
"plantar fasciitis, bilateral",8994
tinnitus (ringing or hissing in ears),3140
eczema (atopic dermatitis),9016
migraines (headaches),9007
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995
Costochondritis,249482
unmapped contention text ['knee instability'],8997
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995
depression,8989
"diabetes, type 1 or type 2",8973
hiatal hernia,8968
multiple sclerosis,9007
tinnitus,3140
unmapped contention text ['shoulder'],9002
unmapped contention text ['shoulder'],9002
migraines (headaches),9007
multiple sclerosis (MS),9007
unmapped contention text ['knee'],8997
unmapped contention text ['knee'],8997
"knee condition, right",8997
unmapped contention text ['back low'],8998
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
generalized anxiety disorder (GAD),8989
sleep apnea,9012
"chronic rhinitis, allergic or non-allergic",9012
unmapped contention text ['knee'],8997
unmapped contention text ['lower back'],8998
depression (major depressive disorder),8989
"scars, head, face or neck",9014
"scars, extremities or trunk",9013
erectile dysfunction (ED),8975
hypertension (high blood pressure),8979
irritable bowel syndrome (IBS),8968
GERD (gastroesophageal reflux disease),8968
unmapped contention text ['foot'],8994
"ankle sprain, bilateral",8991
"knee strain or sprain, bilateral",8997
unmapped contention text ['hand'],8995
"wrist sprain, bilateral",9004
unmapped contention text ['elbow strain'],8993
hearing loss,3140
migraines (headaches),9007
traumatic brain injury (TBI),9020
"hip sprain, bilateral",8996
tinnitus (ringing or hissing in ears),3140
"shoulder strain, bilateral",9002
sleep apnea,9012
lower back strain (lumbosacral strain),8998
deviated septum,9012
neck sprain (cervical sprain),8999
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
PTSD (post-traumatic stress disorder),8989
"plantar fasciitis, right",8994
lower back strain (lumbosacral strain),8998
"knee instability, bilateral",8997
chronic sinusitis,9012
Lower back strain (lumbosacral strain),8998
"intervertebral disc syndrome (IVDS), back",8998
chronic fatigue syndrome,8986
migraines (headaches),9007
irritable bowel syndrome (IBS),8968
neck strain (cervical strain),8999
"scars, head, face or neck",9014
chronic sinusitis,9012
"tendonitis (tendinitis) in knee, bilateral",8997
"patellofemoral pain syndrome, bilateral",8997
traumatic brain injury (TBI),9020
"ganglion cyst in wrist, left",8962
erectile dysfunction (ED),8975
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
depression (major depressive disorder),8989
"carpal tunnel syndrome, bilateral",9006
asthma,9012
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['ankle strain'],8991
hearing loss,3140
TINNITUS,3140
PTSD (post-traumatic stress disorder),8989
chronic sinusitis,9012
"non-diabetic peripheral neuropathy, right upper extremities",9006
"rotator cuff tear, bilateral",9002
sleep apnea,9012
"tendonitis (tendinitis) in ankle, bilateral",8991
migraines (headaches),9007
illness anxiety disorder (hypochondria),8989
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
"plantar fasciitis, right",8994
"plantar fasciitis, left",8994
"plantar fasciitis, bilateral",8994
lower back sprain (lumbosacral sprain),8998
"hip sprain, right",8996
"hip sprain, bilateral",8996
PTSD,8989
unmapped contention text ['knee'],8997
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
"patellofemoral pain syndrome, left",8997
lower back strain (lumbosacral strain),8998
"knee strain or sprain, left",8997
tinnitus (ringing or hissing in ears),3140
"hip sprain, right",8996
"spinal arthritis, back",8998
"ankle sprain, left",8991
"hip replacement (hip arthroplasty), bilateral",8996
"ankle sprain, right",8991
migraines (headaches),9007
"tibia or fibula fracture, right",8997
hypothyroidism (underactive thyroid),8973
tinnitus (ringing or hissing in ears),3140
"bursitis in shoulder, right",9002
"hip sprain, bilateral",8996
fibromyalgia,9007
fibromyalgia,9007
tinnitus (ringing or hissing in ears),3140
"Ankle condition, right",8991
"flatfoot (pes planus), bilateral",8994
"spinal arthritis, neck",8999
unmapped contention text ['lower back'],8998
cervical spinal stenosis (narrowing of spinal canal in neck),8999
"radiculopathy, right upper extremities",8999
"radiculopathy, right lower extremities",8998
hearing loss,3140
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
hypothyroidism (underactive thyroid),8973
chronic fatigue syndrome,8986
sleep apnea,9012
migraines (headaches),9007
"spinal arthritis, back",8998
"knee instability, left",8997
Tinnitus,3140
sleep apnea,9012
asthma,9012
irritable bowel syndrome (IBS),8968
GERD (gastroesophageal reflux disease),8968
sleep apnea,9012
"ankle sprain, bilateral",8991
traumatic brain injury (TBI),9020
eczema (atopic dermatitis),9016
"shin splints, bilateral",8997
neck strain (cervical strain),8999
GERD (gastroesophageal reflux disease),8968
tinnitus (ringing or hissing in ears),3140
"gamekeeper's thumb, right",8995
Tinnitus,3140
hemorrhoids,8968
fecal incontinence (loss of bowel control),8968
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
migraines (headaches),9007
generalized anxiety disorder (GAD),8989
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
lower back sprain (lumbosacral sprain),8998
"knee instability, bilateral",8997
irritable bowel syndrome (IBS),8968
migraines (headaches),9007
"flatfoot (pes planus), bilateral",8994
sleep apnea,9012
asthma,9012
"degenerative arthritis (osteoarthritis) in knee, right",8997
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
chronic fatigue syndrome,8986
urinary incontinence (loss of bladder control),8975
sleep apnea,9012
migraines (headaches),9007
chronic sinusitis,9012
"chronic rhinitis, allergic or non-allergic",9012
irritable bowel syndrome (IBS),8968
"knee instability, right",8997
"knee instability, left",8997
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
lower back strain (lumbosacral strain),8998
migraines (headaches),9007
"ankle sprain, left",8991
"basal cell carcinoma of the skin, head or neck",1250
erectile dysfunction (ED),8975
chronic fatigue syndrome,8986
adjustment disorder,8989
panic disorder,8989
"diabetic peripheral neuropathy, bilateral lower extremities",9006
"diabetes, type 1 or type 2",8973
"carpal tunnel syndrome, bilateral",9006
"golfer's elbow (medial epicondylitis), left",8993
traumatic brain injury (TBI),9020
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
"visual impairment, including blurry vision, blindness and double vision",8974
hypertension (high blood pressure),8979
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['ankle'],8991
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995
"degenerative arthritis (osteoarthritis) in hand or fingers, left",8995
sleep apnea,9012
adjustment disorder,8989
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
tooth condition,8967
Hearing Loss,3140
diabetes,8973
foot pain,8994
headaches,9007
sleep apnea,9012
enlarged prostate (benign prostatic hyperplasia or BPH),8975
"radiculopathy, bilateral upper extremities",8999
sleep apnea,9012
sleep apnea,9012
"ankle sprain, left",8991
erectile dysfunction (ED),8975
"temporomandibular disorder, including TMJ",249481
"knee strain or sprain, bilateral",8997
dry eye syndrome,8974
complete loss of sense of taste (ageusia),8969
complete loss of sense of smell (anosmia),8969
"chronic rhinitis, allergic or non-allergic",9012
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
"ankylosis in shoulder, right",9002
neck strain (cervical strain),8999
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
"knee strain or sprain, right",8997
"ankle sprain, right",8991
"ankylosis in hip, right",8996
lower back strain (lumbosacral strain),8998
sleep apnea,9012
lower back strain (lumbosacral strain),8998
migraines (headaches),9007
erectile dysfunction (ED),8975
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
diabetic retinopathy,8974
Sleep Apnea,9012
"kidney cancer (renal cancer), right",8935
"intervertebral disc syndrome (IVDS), neck",8999
"bursitis in shoulder, right",9002
sleep apnea,9012
migraines (headaches),9007
sleep apnea,9012
migraines (headaches),9007
GERD (gastroesophageal reflux disease),8968
"carpal tunnel syndrome, bilateral",9006
cervical spinal stenosis (narrowing of spinal canal in neck),8999
herpes (herpes simplex virus or HSV),9016
female sexual arousal disorder (FSAD),8978
"shin splints, bilateral",8997
"scars, extremities or trunk",9013
tinnitus (ringing or hissing in ears),3140
"diabetes, type 1 or type 2",8973
"ankle condition, right",8991
sleep apnea,9012
"ankle condition, left",8991
athlete's foot,9016
"deep vein thrombosis (DVT) in leg, right",8987
"knee strain or sprain, left",8997
unmapped contention text ['shoulder'],9002
unmapped contention text ['skin'],9016
unmapped contention text ['foot'],8994
unmapped contention text ['eye'],8974
inguinal hernia (hernia in groin),8968
generalized anxiety disorder (GAD),8989
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['low back'],8998
migraines (headaches),9007
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
PTSD (post-traumatic stress disorder),8989
adjustment disorder,8989
generalized anxiety disorder (GAD),8989
unmapped contention text ['low back'],8998
"post-traumatic arthritis in ankle, bilateral",8991
"degenerative arthritis (osteoarthritis) in wrist, bilateral",9004
"post-traumatic arthritis in knee, right",8997
chronic bronchitis,9012
atrial fibrillation (A-fib),8979
sleep apnea,9012
urinary incontinence (loss of bladder control),8975
fecal incontinence (loss of bowel control),8968
"spinal arthritis, neck",8999
"shoulder impingement syndrome, right",9002
"shoulder impingement syndrome, left",9002
"ankylosis in elbow, right",8993
"ankylosis in elbow, left",8993
Ulcerative Colitis,8968
GERD (gastroesophageal reflux disease),8968
illness anxiety disorder (hypochondria),8989
"degenerative arthritis (osteoarthritis) in wrist, bilateral",9004
"knee instability, bilateral",8997
"ankle sprain, bilateral",8991
sleep apnea,9012
erectile dysfunction,8975
Depression,8989
Migraines,9007
eczema (atopic dermatitis),9016
"bursitis in foot, bilateral",8994
athlete's foot (tinea pedis),9016
"flatfoot (pes planus), bilateral",8994
"scars, head, face or neck",9014
"ankylosis in hand or fingers, right",8995
"ankylosis in hand or fingers, left",8995
"ankylosis in knee, left",8997
"ankylosis in knee, right",8997
"shoulder impingement syndrome, bilateral",9002
Irritable bowel syndrome,8968
tinnitus (ringing or hissing in ears),3140
Plantar Fasciitis,8994
PTSD (post-traumatic stress disorder),8989
"basal cell carcinoma of the skin, extremities or trunk",1250
"ankle sprain, left",8991
migraines (headaches),9007
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
"wrist sprain, bilateral",9004
tinnitus (ringing or hissing in ears),3140
asthma,9012
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
"degenerative arthritis (osteoarthritis) in shoulder, right",9002
"spinal arthritis, neck",8999
"carpal tunnel syndrome, right",9006
Sleep Apnea,9012
PTSD (post-traumatic stress disorder),8989
middle back strain (thoracic strain),8998
"shoulder strain, bilateral",9002
irritable bowel syndrome (IBS),8968
"hip sprain, bilateral",8996
neck strain (cervical strain),8999
tinnitus (ringing or hissing in ears),3140
lower back strain (lumbosacral strain),8998
"shoulder impingement syndrome, left",9002
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
sleep apnea,9012
erectile dysfunction (ED),8975
"flatfoot (pes planus), bilateral",8994
athlete's foot (tinea pedis),9016
lower back strain (lumbosacral strain),8998
lower back sprain (lumbosacral sprain),8998
migraines (headaches),9007
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
"tendonitis (tendinitis) in ankle, right",8991
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
dry eye syndrome,8974
"temporomandibular disorder, including TMJ",249481
panic disorder,8989
eczema (atopic dermatitis),9016
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
lower back strain (lumbosacral strain),8998
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
persistent depressive disorder (dysthymic disorder),8989
depression (major depressive disorder),8989
unmapped contention text ['anxiety'],8989
unmapped contention text ['knee sprain'],8997
unmapped contention text ['knee strain'],8997
Lumbar spinal stenosis,8998
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
Asthma,9012
Hypertension,8979
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
"plantar fasciitis, bilateral",8994
"flatfoot (pes planus), bilateral",8994
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
melanoma of the skin,1250
Migraines,9007
Meniere's disease,8969
"Knee Condition, Bilateral",8997
erectile dysfunction (ED),8975
Sleep apnea,9012
Depression,8989
"Shoulder Condition, Right",9002
tinnitus (ringing or hissing in ears),3140
"shoulder strain, left",9002
illness anxiety disorder (hypochondria),8989
PTSD (post-traumatic stress disorder),8989
chronic sinusitis,9012
hypertension (high blood pressure),8979
unmapped contention text ['gastroesophageal reflux disease gerd'],8968
unmapped contention text ['ankle'],8991
unmapped contention text ['anxiety'],8989
"shoulder strain, right",9002
"knee instability, right",8997
lower back strain (lumbosacral strain),8998
athlete's foot (tinea pedis),9016
migraines (headaches),9007
neck strain (cervical strain),8999
tinnitus (ringing or hissing in ears),3140
"tendonitis (tendinitis) in elbow, right",8993
"tendonitis (tendinitis) in elbow, left",8993
neck strain (cervical strain),8999
"scars, extremities or trunk",9013
hyperthyroidism (overactive thyroid),8973
sarcoidosis,9012
tinnitus (ringing or hissing in ears),3140
coronary artery disease (CAD or arteriosclerotic heart disease),8979
"PTSD (post-traumatic stress disorder), non-combat-related",8989
deviated septum,9012
migraines (headaches),9007
migraines (headaches),9007
hypertension (high blood pressure),8979
Tinnitus,3140
"ankylosis in knee, bilateral",8997
"ankylosis in elbow, bilateral",8993
"ankylosis in wrist, bilateral",9004
"ankylosis in hand or fingers, bilateral",8995
"ankylosis in ankle, left",8991
"ankylosis in ankle, right",8991
neck sprain (cervical sprain),8999
middle back strain (thoracic strain),8998
"ankylosis in elbow, right",8993
"degenerative arthritis (osteoarthritis) in elbow, left",8993
"carpal tunnel syndrome, right",9006
"carpal tunnel syndrome, left",9006
"degenerative arthritis (osteoarthritis) in shoulder, bilateral",9002
"flatfoot (pes planus), right",8994
"flatfoot (pes planus), left",8994
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991
kidney stones (nephrolithiasis),8975
depression (major depressive disorder),8989
sleep apnea,9012
"degenerative arthritis (osteoarthritis) in shoulder, left",9002
"degenerative arthritis (osteoarthritis) in hand or fingers, right",8995
"degenerative arthritis (osteoarthritis) in hand or fingers, left",8995
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
lower back strain (lumbosacral strain),8998
"knee strain or sprain, right",8997
"knee strain or sprain, left",8997
"knee instability, right",8997
"bursitis in ankle, left",8991
"tendonitis (tendinitis) in shoulder, left",9002
"tendonitis (tendinitis) in elbow, left",8993
"tendonitis (tendinitis) in hip, right",8996
"tendonitis (tendinitis) in knee, left",8997
"tendinosis in hand or fingers, right",8995
"tendinosis in hand or fingers, left",8995
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['shoulder'],9002
"Hip Condition, left",8996
"Knee Condition, left",8997
"chronic rhinitis, allergic or non-allergic",9012
Sinus Condition,9012
asthma,9012
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
"ankle sprain, right",8991
"ankle sprain, left",8991
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
"plantar fasciitis, bilateral",8994
erectile dysfunction (ED),8975
"tendonitis (tendinitis) in foot, right",8994
"tendonitis (tendinitis) in foot, left",8994
irritable bowel syndrome (IBS),8968
unmapped contention text ['post traumatic stress disorder ptsd'],8989
unmapped contention text ['anxiety'],8989
hypertension,8979
hearing loss,3140
unmapped contention text ['shin splints'],8997
erectile dysfunction (ED),8975
unmapped contention text ['knee instability'],8997
unmapped contention text ['ankle'],8991
unmapped contention text ['lower back'],8998
unmapped contention text ['migraines'],9007
Meniere's disease,8969
unmapped contention text ['anxiety'],8989
adjustment disorder,8989
depression (major depressive disorder),8989
cataract,8974
Chronic sinusitis,9012
unmapped contention text ['knee'],8997
unmapped contention text ['conjunctivitis'],8974
cancer - colon,8932
cancer - tongue,8931
"plantar fasciitis, bilateral",8994
PTSD (post-traumatic stress disorder),8989
"radiculopathy, bilateral lower extremities",8998
hypertension (high blood pressure),8979
erectile dysfunction (ED),8975
sleep apnea,9012
migraines (headaches),9007
"ACL tear (anterior cruciate ligament tear), right",8997
lower back strain (lumbosacral strain),8998
PTSD (post-traumatic stress disorder),8989
schizophrenia,8989
depression (major depressive disorder),8989
bipolar disorder,8989
"flatfoot (pes planus), bilateral",8994
migraines (headaches),9007
unmapped contention text ['neck'],8999
unmapped contention text ['foot'],8994
unmapped contention text ['hearing loss'],3140
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['knee'],8997
unmapped contention text ['shoulder'],9002
unmapped contention text ['lower back'],8998
"degenerative arthritis (osteoarthritis) in wrist, bilateral",9004
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"degenerative arthritis (osteoarthritis) in hip, left",8996
erectile dysfunction (ED),8975
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
lower back sprain (lumbosacral sprain),8998
migraines (headaches),9007
neck sprain (cervical sprain),8999
generalized anxiety disorder (GAD),8989
erectile dysfunction (ED),8975
prostatitis (inflammation of prostate),8975
"radiculopathy, bilateral lower extremities",8998
chronic obstructive pulmonary disease (COPD),9012
sleep apnea,9012
GERD (gastroesophageal reflux disease),8968
hypertension (high blood pressure),8979
erectile dysfunction (ED),8975
"knee instability, bilateral",8997
"flatfoot (pes planus), bilateral",8994
"plantar fasciitis, bilateral",8994
"PTSD (post-traumatic stress disorder), non-combat-related",8989
"ankylosis in ankle, left",8991
"ankylosis in knee, bilateral",8997
unmapped contention text ['migraines'],9007
"ankylosis in hip, left",8996
sleep apnea,9012
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['elbow'],8993
unmapped contention text ['foot'],8994
"radiculopathy, bilateral upper extremities",8999
"plantar fasciitis, bilateral",8994
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['neck'],8999
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996
"flatfoot (pes planus), bilateral",8994
"knee strain or sprain, bilateral",8997
unmapped contention text ['ankle sprain'],8991
unmapped contention text ['ankle'],8991
unmapped contention text ['shoulder'],9002
sleep apnea,9012
arrhythmia (irregular heartbeat),8979
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['knee instability'],8997
traumatic brain injury (TBI),9020
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
cervical spinal stenosis (narrowing of spinal canal in neck),8999
glaucoma,8974
HIV-related illness,8986
prostate cancer,8935
erectile dysfunction (ED),8975
"meniscus tear, right",8997
sleep apnea,9012
"plantar fasciitis, bilateral",8994
generalized anxiety disorder (GAD),8989
"intervertebral disc syndrome (IVDS), back",8998
PTSD (post-traumatic stress disorder),8989
generalized anxiety disorder (GAD),8989
migraines (headaches),9007
hypertension (high blood pressure),8979
chronic fatigue syndrome,8986
adjustment disorder,8989
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
"knee replacement (knee arthroplasty), left",8997
generalized anxiety disorder (GAD),8989
chronic sinusitis,9012
Depression,8989
COPD,9012
Lower Back Sprain,8998
Neck Strain,8999
PTSD,8989
Tinnitus,3140
"shin splints, bilateral",8997
sleep apnea,9012
"chronic rhinitis, allergic or non-allergic",9012
chronic sinusitis,9012
"shoulder strain, bilateral",9002
"knee instability, bilateral",8997
"radiculopathy, bilateral lower extremities",8998
migraines (headaches),9007
GERD (gastroesophageal reflux disease),8968
irritable bowel syndrome (IBS),8968
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
generalized anxiety disorder (GAD),8989
erectile dysfunction (ED),8975
"shoulder strain, right",9002
middle back strain (thoracic strain),8998
hearing loss,3140
arrhythmia (irregular heartbeat),8979
lower back strain (lumbosacral strain),8998
"carpal tunnel syndrome, bilateral",9006
"radiculopathy, right upper extremities",8999
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
"radiculopathy, bilateral lower extremities",8998
"hip sprain, right",8996
"shoulder strain, right",9002
traumatic brain injury (TBI),9020
"shoulder dislocation, left",9002
"plantar fasciitis, bilateral",8994
"knee instability, bilateral",8997
lower back sprain (lumbosacral sprain),8998
"spinal arthritis, back",8998
migraines (headaches),9007
herpes (herpes simplex virus or HSV),9016
hypertension (high blood pressure),8979
sleep apnea,9012
Tinnitus,3140
depression,8989
PTSD (post-traumatic stress disorder),8989
"post-traumatic arthritis in ankle, left",8991
Diverticulitis,8968
generalized anxiety disorder (GAD),8989
"degenerative arthritis (osteoarthritis) in knee, right",8997
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
"radiculopathy, bilateral upper extremities",8999
"intervertebral disc syndrome (IVDS), neck",8999
"knee strain or sprain, right",8997
migraines (headaches),9007
erectile dysfunction (ED),8975
sleep apnea,9012
"flatfoot (pes planus), bilateral",8994
"degenerative arthritis (osteoarthritis) in ankle, right",8991
"shoulder impingement syndrome, left",9002
"degenerative arthritis (osteoarthritis) in shoulder, left",9002
neck strain (cervical strain),8999
GERD (gastroesophageal reflux disease),8968
middle back strain (thoracic strain),8998
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
"hip replacement (hip arthroplasty), right",8996
PTSD (post-traumatic stress disorder),8989
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
"knee strain or sprain, bilateral",8997
lower back sprain (lumbosacral sprain),8998
PTSD (post-traumatic stress disorder),8989
chronic sinusitis,9012
"spinal arthritis, neck",8999
"spinal arthritis, back",8998
cervical spinal stenosis (narrowing of spinal canal in neck),8999
migraines (headaches),9007
"knee instability, bilateral",8997
neck strain (cervical strain),8999
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
Migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
irritable bowel syndrome (IBS),8968
sleep apnea,9012
migraines (headaches),9007
hyperthyroidism (overactive thyroid),8973
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
"degenerative arthritis (osteoarthritis) in elbow, left",8993
"degenerative arthritis (osteoarthritis) in elbow, right",8993
"spinal arthritis, back",8998
asthma,9012
"knee instability, bilateral",8997
sleep apnea,9012
PTSD (post-traumatic stress disorder),8989
lower back strain (lumbosacral strain),8998
migraines (headaches),9007
GERD (gastroesophageal reflux disease),8968
